Kgen,Dkgen,Commit,Sign,SignCommit,SignCommitProb,CommitProbTotal,SignProbTotal,ProbTries
4718107710,4579894575,4434181781,851399899,5302237048,1216339668,363944403,842656488,1
4712763518,4619855432,4434598246,860389155,5264252367,1209565550,359157772,865228449,1
4765762195,4609732705,4441852571,828835004,5225355365,1191722180,1093760765,2579019360,3
4755995331,4577894773,4421655645,849773736,5247249435,1229823495,730293320,1753465833,2
4708705999,4585380638,4452978839,862104259,5273240027,1213874389,361766113,859129855,1
4737956563,4582949795,4432334150,838628425,5287347530,1205099141,360968137,874295122,1
4740401865,4592330457,4409395086,865379967,5296576749,1216558357,1100352255,2621389571,3
4716987990,4617304843,4420904444,866869710,5307913985,1219063679,729093235,1705391815,2
4773406588,4645462506,4453609273,847776958,5293807149,1212253096,360716542,874542167,1
4773551793,4636317032,4413541899,863927969,5306028296,1228183176,1472802911,3464616293,4
4769028610,4585284009,4449977913,861841393,5275833625,1225869684,361467402,871525843,1
4769334995,4613380328,4396317090,852252943,5286645782,1220108801,361191714,877216124,1
4704122204,4604787131,4412626426,847965520,5248950027,1210713027,1841027008,4320008671,5
4709670014,4610218690,4472533060,876384348,5324074166,1226666168,1106808411,2615855902,3
4727014886,4607641553,4454633188,849079416,5280827024,1228766909,727690748,1764427251,2
4762099610,4580042730,4406405880,852267284,5273454373,1232309117,1095990220,2591183445,3
4770910136,4625191304,4436626757,845183825,5318996001,1209874544,1104109448,2588308624,3
4716133516,4601554776,4401881405,849272634,5290018966,1228285908,734278571,1721434921,2
4723945128,4609914603,4400491218,865429372,5290707887,1214768225,359684289,858198066,1
4709936700,4594589359,4452686625,867083793,5282864391,1229785229,1464302493,3475913804,4
4766449594,4610525377,4450957739,863258721,5246221418,1227721631,727985972,1735882217,2
4750263430,4635959897,4413679408,851521378,5298897487,1215862891,734553921,1738283236,2
4781357863,4636377014,4421345668,847481441,5282034953,1211216638,1098628859,2597806580,3
4728479923,4632422091,4446287062,852211386,5274116461,1216382329,726917441,1748298170,2
4751934402,4590992238,4458164455,858866071,5263529216,1208214865,359427055,861851833,1
4756033294,4599784413,4451520823,869697900,5273058984,1235834584,361462953,846815960,1
4770541954,4633432997,4411120987,867872092,5242955424,1230522610,359468867,870262353,1
4753533479,4617149660,4466922685,865179121,5284508419,1213025206,2210421830,5201753000,6
4718956043,4614661860,4454626849,840237343,5242991392,1189809006,730226344,1744830988,2
4738683545,4626162751,4426037246,864021707,5330340630,1228567255,1100414997,2611850346,3
4766507338,4634133049,4353897287,877311003,5290230300,1226723660,359591045,866819481,1
4727851577,4609219737,4460415181,869413565,5310973036,1232443083,361301943,867281693,1
4716399520,4594921758,4457952870,866814124,5318749122,1216038811,361172463,841672635,1
4780117021,4648554570,4457031289,866124315,5276114884,1230596235,360113456,892061723,1
4774985028,4603480563,4432848655,851138156,5306227688,1216937221,361297926,831341654,1
4737167185,4645053142,4421939889,850278035,5319452351,1212951981,361468164,859446464,1
4727164055,4631163318,4428136092,855900314,5315644569,1223339695,360992041,862069542,1
4773061722,4621014902,4399538588,852360436,5287595252,1218581905,1100187293,2621047892,3
4782841327,4607153017,4434506339,866659233,5348658356,1231286915,734387493,1741080951,2
4768769472,4613254096,4421101598,847579672,5273489225,1212263673,1098201537,2552595980,3
4738460975,4610911765,4460994006,865149786,5291172732,1230085080,731015392,1710204312,2
4724273016,4610623932,4427235740,851952812,5294927205,1216892705,359641393,865300701,1
4767471068,4637006262,4429957142,853898640,5261766961,1232164048,359131931,880048545,1
4734460875,4650064172,4425291645,845959610,5315750393,1208645665,734033671,1753851428,2
4742964304,4647838431,4424531474,858638464,5295874300,1223303826,359670258,867971911,1
4733260132,4620174826,4397431696,846651987,5294410037,1209698830,1094899190,2615586687,3
4772329549,4609686414,4412613287,853458396,5289889852,1232894988,359680393,858159658,1
4793780675,4598036385,4435222792,851909679,5325854377,1215169679,1104048925,2571703169,3
4773790152,4636240075,4464254772,835094626,5228537291,1199916898,359531737,855378958,1
4710024285,4634198990,4393688190,869212674,5338965970,1232820558,361292078,877528252,1
4738075089,4603901133,4446308518,851827107,5323571944,1234841899,361029194,874954586,1
4721737817,4596769720,4451438487,856475667,5278551069,1235082056,364641495,882070159,1
4732551884,4664560171,4459332358,866474232,5326358237,1214050836,2212618121,5261713045,6
4729809332,4639488239,4424271767,867388986,5323957152,1234986763,1100160826,2587512302,3
4763181848,4652360811,4423240037,832292228,5257308316,1215209470,361238545,855988989,1
4722551367,4642100209,4468900986,866055092,5282692505,1213342982,727174118,1742681119,2
4709559029,4611778895,4422272548,855256149,5276584430,1235863943,1472136687,3442137887,4
4768868270,4605624435,4423364114,850284509,5307794286,1217524080,360641007,875603251,1
4736523195,4593769050,4401026547,847359488,5237824805,1210691782,364546252,857634535,1
4711411655,4649891017,4443459769,837139242,5269799708,1202216258,359418482,857483547,1
4735523887,4613067693,4418009135,854473113,5279547937,1203557044,720226239,1709127014,2
4686963656,4620887668,4458805077,849348338,5276848386,1229705260,727022944,1739918718,2
4733330388,4648700395,4402947687,870890283,5258957306,1235191654,359092418,871757295,1
4747460998,4607640280,4406952830,844368673,5263922091,1206908043,359141625,824236027,1
4764358531,4663312715,4464001930,849741715,5276279977,1212736179,730466100,1739989959,2
4738155549,4652073893,4446049340,847715887,5287880841,1215856941,361342953,879031313,1
4716460593,4649092297,4413802709,846263475,5283802347,1211020808,359771507,863476995,1
4730466386,4657821152,4423941064,862903674,5327833629,1229222779,1103613441,2600234240,3
4721954473,4631381326,4442718508,855480269,5278154876,1220092959,1471947531,3464967596,4
4763666047,4588121652,4432319035,847181875,5284602424,1196236332,1094793904,2617151058,3
4785417030,4603524479,4452428877,863935661,5295318678,1217402324,729033817,1734943534,2
4787406506,4643743015,4442288741,830898759,5275180441,1210140277,730440829,1747419399,2
4743773438,4579936487,4401520000,863278829,5313411736,1231402285,728874234,1735779731,2
4749750638,4607122648,4470754967,860510670,5264320020,1209838056,727262116,1757410444,2
4742841243,4618754749,4467576980,879806761,5314613422,1232515924,361290712,860952581,1
4696837579,4616036491,4416588162,850789624,5301389333,1216608961,361139774,879132314,1
4784630468,4588662349,4462188013,868245956,5342003875,1230918069,733695573,1731040851,2
4730028944,4618893706,4445564776,865880018,5309628933,1218551447,361088507,879300743,1
4742005138,4631517424,4434974915,856982719,5284073133,1219999376,727183051,1760979471,2
4687722455,4629673154,4426591114,867383031,5308382643,1217301887,727134708,1777072227,2
4783699842,4619029522,4452133551,854169079,5331646387,1218549127,737239196,1725463777,2
4732699829,4647036175,4386627910,849433281,5289198484,1228609655,358826033,866440209,1
4758428552,4641938037,4458056486,858893919,5290475471,1222199955,727687909,1736468186,2
4724384827,4657539149,4434020417,841942444,5282047176,1207448375,1834748160,4368668871,5
4764903273,4641586268,4454918174,856174112,5339289952,1221060575,364795544,867537512,1
4744942771,4575622181,4408281472,860445448,5323141543,1228368569,1100101911,2553513782,3
4782986436,4611330916,4457349398,864017947,5261138143,1228446774,1103451042,2568077082,3
4726759396,4605958976,4439093413,852554925,5324776717,1217689035,361128320,876067135,1
4727287040,4652877329,4428612122,853928526,5290648796,1234038636,730721689,1719535200,2
4732936725,4646812392,4401788827,852444094,5308449449,1220126181,361124026,861177567,1
4732594233,4595329553,4419389898,851097164,5325530591,1213796758,361205369,854361893,1
4741004641,4645180981,4461818307,851648093,5344889627,1216633150,361452571,875828331,1
4749417683,4595498433,4428032990,861180484,5292291498,1225944976,359285969,886839717,1
4767117788,4597496324,4420371297,868298392,5295432750,1230976004,730610406,1732890571,2
4777409123,4656140261,4415720996,879703493,5342152268,1229682738,364337483,878606215,1
4731805483,4609053484,4467472444,864535782,5293519881,1229480314,1094797640,2614324424,3
4731544862,4644752605,4440783179,833148451,5228366529,1213196124,359335731,885283113,1
4715311982,4652893741,4441250554,846310146,5304863051,1228165031,728748755,1728871098,2
4751457142,4663467655,4422795017,846539557,5305052544,1214559769,361297884,859832338,1
4708326064,4582553400,4421767998,866073160,5280154756,1228780909,727112219,1737378647,2
