Kgen,Dkgen,Commit,Sign,SignCommit
102856506,101996755,57157654,189540914,241174137
102945088,102161969,57134368,207125145,258774391
105509919,101941120,57577522,198068286,258861454
102575149,103592236,57435134,180776006,223293370
105425917,102271810,57238963,206982035,258577858
105360204,101971585,57523289,180875859,232449027
105251026,102501955,57895600,189470936,240824224
105445034,101946002,57225034,180833346,223505907
102341383,102018737,57489990,197684482,258803060
105246627,102027922,57459807,207252145,249222886
102789559,102151806,56985280,189413393,241432698
105337958,102063612,56952196,189363074,250433909
105574438,101791061,57115532,189401848,250251303
105361255,102381476,57405806,207361011,249473887
105386626,101653830,57324790,198187499,249935493
102676543,101808002,57255921,188959213,250010614
102471884,101868560,57104896,207316140,258615150
102568330,102186968,57251322,189328478,241407731
105354971,101996807,57327190,197876907,240125472
105275800,101877620,57280797,197808957,249458865
105582605,102141097,57082251,197604307,249207805
105387699,101707042,57204851,198073465,258998887
105531322,101922236,57154734,198617039,240696627
102818375,101931884,57027505,198225834,240437589
102677223,101832167,57166667,197467499,258794658
105396589,101797189,57524227,188291980,240146520
105283977,101917330,56938942,215201480,266953241
104937891,101774636,56878451,180134314,241188340
105336805,102035747,57150257,188957794,240650064
102516456,101326327,57030655,197854524,240304744
105052805,101901682,57070571,180171148,231834365
105338223,101907360,57402135,197807684,240149510
102533431,101630152,56970933,189095002,249967669
105458365,101821645,56941056,197422399,248928618
102703093,101646383,56979486,189077032,240802675
105217986,101940855,56996173,197482989,249265562
105348330,101957330,57097373,189376240,240876521
102661080,101771813,57007147,180749574,232295602
105098133,101767484,57008853,206863010,258511903
105299551,101805876,57151433,197853612,249545323
102574994,101969837,56992708,189129014,241080814
102875615,101727106,57145923,189389358,240866922
105036222,102035254,56984587,188160054,249162423
105258641,101883247,57445248,189403022,240735380
102374628,101918872,57286934,206719022,249091018
102562873,102776561,57823787,188418396,240199107
105268379,102098843,57391606,179802763,231489862
105249745,103256771,56939980,188281795,249233223
102816885,101934727,57255445,188898272,240621837
102564398,101669594,57022574,207298106,249205044
102611409,101924246,57130316,189300425,231722510
102412563,101922860,57045246,197876913,249251936
105208126,101588262,57428895,215399209,266750900
105493402,101551310,56959577,188089574,239729353
102284630,102137873,57064826,189201246,240989445
105226289,101895943,57018051,197392775,258526452
105298898,101520245,57130477,198454757,250092910
105397767,101994096,57242571,206583673,258335274
105097222,101779753,57025653,205846627,267706680
105081389,101635564,57090881,179818762,231224385
105176039,101504702,57089778,188801400,240397206
105043698,101674005,57252887,189119980,250090701
102244951,101765273,56930220,179814894,231797443
102716868,102091960,57219259,189142302,241130465
105025884,101365958,57276792,179817374,231338985
104990923,102108262,57091804,197816990,259156163
102451682,101680264,56931212,206898210,259147881
105533084,101873737,56973525,197662700,249256026
102440958,101908003,57135399,207206254,258677090
105170221,101479449,56954344,197616508,240248210
105310110,101871655,57464600,206854857,249046887
105179070,101813469,57431043,198278719,240401317
104693683,101859516,56875674,179707693,231037672
102390230,101904527,57065808,189046416,240199850
105073215,102055683,56983971,179594564,231006544
102320872,101806592,57057681,197607858,249162515
102342570,101653537,56989447,188804216,249775219
105093594,101949876,57200778,206976803,258565140
105046832,101866874,57074941,197557405,249064592
102470350,101792091,56883172,179658149,231609398
102513607,101868575,57106441,197717856,258939280
102584283,102004367,57132637,189168298,240833185
105032502,101779162,57103780,189106424,240510876
102695551,101644130,57098889,179848177,240603381
105144639,101899365,57391596,188461819,240581887
102645447,102087623,57079185,188847166,240271071
105070141,101442955,57449142,207260540,249484649
102408225,101678704,57232910,188759558,240427608
105334314,101729686,56950926,179930416,231495545
102557726,101866620,56982629,197833073,249106675
102287869,101852711,56919878,198140524,249730356
105203228,101541257,56973775,215401395,266963675
105277618,102039401,57125358,197385135,239875110
102386710,101896218,56961110,179599107,231082234
105148374,101988214,57043319,205910048,257374107
105020693,102129001,56975610,189088978,240828201
102639990,101713406,56978686,188916824,240716584
105018629,101704413,57152395,198366459,240707673
104832904,101827545,56960323,197792308,249375204
105225546,102047949,56909678,197535233,248967222
